service_id,date,exception_type
300328,20211223,1
300328,20211224,1
300973,20211223,1
300973,20211224,1
300175,20211223,1
300175,20211224,1
299957,20211223,1
299957,20211224,1
300852,20211223,1
300852,20211224,1
299715,20211223,1
299715,20211224,1
299509,20211223,1
299509,20211224,1
299509,20211225,1
299509,20211226,1
299509,20211227,1
299509,20211228,1
299509,20211229,1
299509,20211230,1
299509,20211231,1
299509,20220101,1
299509,20220102,1
299509,20220103,1
299509,20220104,1
299509,20220105,1
299509,20220106,1
299509,20220107,1
299509,20220108,1
299509,20220109,1
299509,20220110,1
299509,20220111,1
299509,20220112,1
299509,20220113,1
299509,20220114,1
299509,20220115,1
299509,20220116,1
299509,20220117,1
299509,20220118,1
299509,20220119,1
299509,20220120,1
299509,20220121,1
299509,20220122,1
299509,20220123,1
299509,20220124,1
299509,20220125,1
299509,20220126,1
299509,20220127,1
299509,20220128,1
299509,20220129,1
299509,20220130,1
299509,20220131,1
299509,20220201,1
299509,20220202,1
299509,20220203,1
299509,20220204,1
299509,20220205,1
299509,20220206,1
299509,20220207,1
299509,20220208,1
299509,20220209,1
299509,20220210,1
299509,20220211,1
299509,20220212,1
299509,20220213,1
299509,20220214,1
299509,20220215,1
299509,20220216,1
299509,20220217,1
299509,20220218,1
299509,20220219,1
299509,20220220,1
299509,20220221,1
299509,20220222,1
299509,20220223,1
299509,20220224,1
299509,20220225,1
299509,20220226,1
299509,20220227,1
299509,20220228,1
299509,20220301,1
299509,20220302,1
299509,20220303,1
299509,20220304,1
299509,20220305,1
300046,20211223,1
300046,20211224,1
300046,20211225,1
300046,20211226,1
300046,20211227,1
300046,20211228,1
300046,20211229,1
300046,20211230,1
300046,20211231,1
300046,20220101,1
300046,20220102,1
300046,20220103,1
300046,20220104,1
300046,20220105,1
300046,20220106,1
300046,20220107,1
300046,20220108,1
300046,20220109,1
300046,20220110,1
300046,20220111,1
300046,20220112,1
300046,20220113,1
300046,20220114,1
300046,20220115,1
300046,20220116,1
300046,20220117,1
300046,20220118,1
300046,20220119,1
300046,20220120,1
300046,20220121,1
300046,20220122,1
300046,20220123,1
300046,20220124,1
